ts,open,high,low,close,volume
1783762800000,64248.6,64249.0,64207.2,64207.2,48.8221
1783762860000,64206.9,64215.2,64191.9,64200.0,26.144
1783762920000,64200.1,64200.1,64200.0,64200.0,4.6387
1783762980000,64200.0,64200.1,64200.0,64200.1,4.6297
1783763040000,64200.1,64200.1,64170.0,64170.0,33.8042
1783763100000,64170.0,64170.0,64152.3,64153.7,24.1958
1783763160000,64153.7,64157.3,64140.3,64155.1,43.7638
1783763220000,64155.2,64160.6,64144.5,64144.5,49.837
1783763280000,64144.6,64144.6,64141.3,64144.0,13.6895
1783763340000,64144.0,64148.0,64144.0,64146.1,13.3159
1783763400000,64146.1,64155.0,64146.0,64155.0,11.4395
1783763460000,64155.0,64155.0,64141.8,64145.1,16.2117
1783763520000,64145.1,64155.0,64137.7,64137.7,37.0453
1783763580000,64137.8,64149.5,64137.7,64149.4,5.8596
1783763640000,64149.4,64149.5,64128.1,64128.7,27.3848
1783763700000,64128.6,64155.0,64128.6,64151.2,27.3433
1783763760000,64151.3,64155.0,64151.2,64151.3,20.9986
1783763820000,64151.2,64151.3,64143.1,64143.1,8.8929
1783763880000,64143.1,64143.4,64130.3,64140.0,12.8682
1783763940000,64140.0,64140.1,64130.0,64138.0,10.7884
1783764000000,64138.1,64147.4,64138.1,64138.9,13.4309
1783764060000,64138.9,64140.0,64138.8,64139.9,4.5774
1783764120000,64140.0,64144.8,64131.6,64144.8,19.3952
1783764180000,64144.8,64155.4,64144.7,64155.4,9.0194
1783764240000,64155.4,64161.2,64139.0,64139.1,25.7249
1783764300000,64139.1,64139.1,64132.5,64135.0,12.7868
1783764360000,64135.0,64140.0,64134.9,64140.0,4.2799
1783764420000,64140.0,64140.0,64139.9,64140.0,4.2051
1783764480000,64140.0,64141.0,64139.9,64140.9,3.433
1783764540000,64141.0,64145.6,64140.9,64145.5,4.2803
1783764600000,64145.6,64155.0,64145.6,64153.0,7.2195
1783764660000,64153.1,64153.1,64149.0,64149.1,2.6274
1783764720000,64149.1,64149.3,64145.9,64149.2,7.1211
1783764780000,64149.2,64165.9,64149.2,64165.8,8.7421
1783764840000,64165.8,64183.0,64165.8,64179.2,24.6532
1783764900000,64179.3,64179.3,64150.0,64150.0,8.5517
1783764960000,64150.1,64150.1,64134.0,64134.0,5.8541
1783765020000,64134.0,64134.1,64134.0,64134.0,2.4934
1783765080000,64134.0,64134.1,64130.0,64130.0,8.6966
1783765140000,64130.1,64134.1,64121.5,64121.5,24.9231
1783765200000,64121.5,64131.5,64121.5,64131.4,22.4562
1783765260000,64131.4,64133.7,64131.4,64133.7,3.6168
1783765320000,64133.7,64138.9,64133.7,64138.8,13.5429
1783765380000,64138.9,64145.7,64138.8,64145.7,3.3707
1783765440000,64145.8,64151.3,64145.7,64151.2,3.5492
1783765500000,64151.3,64159.4,64151.3,64156.6,4.5437
1783765560000,64156.6,64156.7,64133.8,64133.9,17.5582
1783765620000,64133.9,64134.5,64133.8,64134.5,14.459
1783765680000,64134.5,64136.4,64128.0,64136.3,25.2733
1783765740000,64136.3,64161.9,64136.3,64161.8,23.5877
1783765800000,64161.9,64161.9,64150.0,64150.0,5.0095
1783765860000,64150.0,64150.1,64130.0,64130.4,69.5745
1783765920000,64130.4,64133.2,64128.0,64129.9,9.8527
1783765980000,64130.0,64130.0,64129.9,64129.9,2.2864
1783766040000,64130.0,64144.8,64129.9,64144.8,3.2461
1783766100000,64144.7,64144.8,64141.2,64141.3,2.5715
1783766160000,64141.2,64141.3,64136.7,64141.2,6.4044
1783766220000,64141.3,64144.0,64136.0,64136.1,1.0533
1783766280000,64136.0,64136.1,64111.0,64111.0,26.0823
1783766340000,64111.1,64115.5,64111.0,64115.5,8.105
1783766400000,64115.5,64121.8,64115.4,64121.7,3.7192
1783766460000,64121.8,64137.9,64121.7,64129.2,56.5699
1783766520000,64129.3,64140.0,64129.2,64140.0,18.4843
1783766580000,64139.9,64149.9,64139.9,64149.9,10.408
1783766640000,64150.0,64160.0,64118.2,64118.2,60.3378
1783766700000,64118.2,64138.5,64118.1,64138.5,19.3672
1783766760000,64138.4,64154.3,64138.4,64154.3,4.4764
1783766820000,64154.3,64165.0,64154.2,64164.9,6.9959
1783766880000,64165.0,64165.0,64160.0,64160.0,6.9921
1783766940000,64160.1,64162.4,64160.0,64160.1,5.0712
1783767000000,64160.0,64160.1,64156.8,64156.9,3.1444
1783767060000,64156.8,64165.0,64156.8,64159.4,5.3144
1783767120000,64159.4,64159.5,64154.2,64154.3,2.4617
1783767180000,64154.2,64160.0,64154.2,64160.0,6.1735
1783767240000,64160.0,64166.2,64154.2,64160.9,11.4197
1783767300000,64160.9,64160.9,64154.0,64154.1,1.7311
1783767360000,64154.1,64160.9,64154.0,64158.8,5.2931
1783767420000,64158.8,64160.8,64158.8,64160.8,20.4762
1783767480000,64160.8,64160.8,64160.7,64160.8,7.9284
1783767540000,64160.7,64174.1,64160.7,64174.1,23.153
1783767600000,64174.3,64178.5,64158.8,64158.8,100.945
1783767660000,64158.9,64158.9,64158.8,64158.8,5.1856
1783767720000,64158.8,64158.9,64150.0,64150.1,3.3767
1783767780000,64150.1,64164.5,64150.0,64164.5,13.5634
1783767840000,64164.6,64164.6,64164.5,64164.6,1.0968
1783767900000,64164.5,64165.0,64164.5,64164.9,4.9146
1783767960000,64164.9,64190.1,64164.9,64190.0,37.5897
1783768020000,64190.0,64192.6,64189.9,64192.5,10.5668
1783768080000,64192.6,64192.6,64151.0,64163.9,11.0804
1783768140000,64163.8,64175.0,64158.8,64174.9,20.2369
1783768200000,64175.0,64175.0,64174.9,64175.0,0.6911
