ts,open,high,low,close,volume
1783761900000,1797.93,1798.0,1797.92,1798.0,719.015
1783761960000,1798.0,1798.64,1797.93,1797.93,2465.687
1783762020000,1797.94,1797.94,1797.66,1797.91,516.612
1783762080000,1797.91,1798.35,1797.9,1798.34,248.685
1783762140000,1798.35,1798.73,1798.34,1798.73,420.484
1783762200000,1798.73,1798.73,1798.42,1798.43,192.292
1783762260000,1798.43,1799.0,1798.42,1798.72,565.79
1783762320000,1798.72,1798.85,1797.63,1797.63,516.732
1783762380000,1797.64,1797.64,1797.23,1797.23,386.185
1783762440000,1797.24,1797.43,1796.38,1797.22,1261.599
1783762500000,1797.22,1797.4,1796.73,1797.37,567.411
1783762560000,1797.39,1797.98,1797.39,1797.97,243.879
1783762620000,1797.98,1799.0,1797.98,1799.0,842.544
1783762680000,1798.99,1799.5,1798.99,1799.21,998.131
1783762740000,1799.2,1799.77,1799.2,1799.52,373.581
1783762800000,1799.51,1799.59,1799.0,1799.11,481.564
1783762860000,1799.12,1799.28,1798.63,1799.0,493.983
1783762920000,1799.01,1799.01,1799.0,1799.01,84.901
1783762980000,1799.01,1799.01,1798.58,1798.71,840.75
1783763040000,1798.72,1798.75,1798.26,1798.26,486.238
1783763100000,1798.26,1798.27,1797.25,1797.39,875.93
1783763160000,1797.38,1797.39,1796.77,1797.37,2026.988
1783763220000,1797.37,1797.8,1797.37,1797.77,830.99
1783763280000,1797.76,1798.14,1797.73,1797.74,1036.864
1783763340000,1797.74,1797.74,1797.44,1797.71,1150.014
1783763400000,1797.71,1798.04,1797.71,1798.04,243.237
1783763460000,1798.03,1798.04,1797.0,1797.65,932.551
1783763520000,1797.65,1797.65,1796.8,1796.81,572.155
1783763580000,1796.8,1797.42,1796.71,1797.12,757.104
1783763640000,1797.12,1797.12,1796.5,1796.62,584.847
1783763700000,1796.62,1797.48,1796.62,1796.7,1187.908
1783763760000,1796.71,1796.71,1796.62,1796.62,318.408
1783763820000,1796.63,1796.63,1796.07,1796.07,1267.927
1783763880000,1796.07,1796.24,1794.13,1795.22,5856.02
1783763940000,1795.22,1795.22,1794.31,1794.59,2310.376
1783764000000,1794.59,1795.18,1794.31,1795.18,1782.374
